qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
2:248:28,1,0,0,1,0,0,0,1,0,2,5,0,1,2,0,0
2:249:28,0,0,0,2,0,0,0,3,0,2,5,0,0,3,0,0
2:249:58,1,0,0,4,1,0,0,2,0,1,1,0,1,2,0,0
2:251:13,0,0,1,5,0,0,0,0,0,1,1,0,0,0,0,0
2:253:7,0,0,2,2,0,0,0,0,0,2,5,0,0,0,0,0
2:253:37,1,0,2,2,0,0,0,4,0,3,5,0,1,0,0,0
2:254:15,0,0,0,3,0,0,0,0,0,0,5,0,1,2,0,0
2:255:23,1,0,1,1,0,0,0,0,0,0,1,0,3,4,0,0
2:256:3,1,0,0,7,0,0,0,1,0,1,2,1,0,0,0,0
2:257:9,0,0,3,6,0,1,0,2,0,1,0,0,2,1,0,0
2:258:15,0,0,0,4,0,3,1,0,0,0,0,0,0,0,1,0
2:259:2,0,0,0,2,0,0,0,1,0,0,3,0,0,1,1,0
2:259:32,4,0,0,1,0,0,0,1,0,0,3,1,0,1,0,0
2:259:62,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0
2:260:25,3,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0
2:261:16,3,0,1,3,0,0,0,2,0,0,4,0,2,0,0,0
2:262:22,1,0,2,3,0,0,0,2,0,1,6,0,1,1,0,0
2:264:17,1,0,1,2,0,0,0,1,0,0,4,0,0,3,0,0
2:265:8,1,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0
2:266:11,1,0,2,2,0,0,0,2,0,0,6,0,2,2,0,0
2:267:6,1,0,1,2,0,0,0,3,0,3,1,0,3,0,0,0
2:268:6,1,0,1,2,0,0,0,2,0,3,8,0,2,0,0,0
2:270:7,2,0,1,4,0,0,0,1,0,1,7,0,0,1,0,0
